,Borough,Neighborhood,ID,dd,Name,Likes,Rating,Tips
126,Staten Island,Grant City,4ce99c2df1c6236a1b7266f0,1,Taste Of India,0,,3
127,Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,2,Drunken Munkey,207,8.5,61
128,Manhattan,Carnegie Hill,56ed855a498ef3bb022352c3,1,Mughlai Indian Cuisine,39,7.8,9
129,Manhattan,Noho,5a1e961c1987ec47beed877d,1,Baar Baar,,,
130,Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,2,Tamarind TriBeCa,589,9,146
131,Manhattan,Midtown South,5a29a12b898bdc04b45751ad,1,Indikitch,32,7.3,1
132,Manhattan,Midtown South,49d91c12f964a520015e1fe3,2,The Kati Roll Company,836,8.7,259
133,Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,3,Sagar Restaurant,10,7.2,6
134,Queens,Jamaica Hills,4bad49a0f964a52041423be3,3,Annam Brahma,15,8.3,3
135,Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,3,Sybil's Bakery,7,7,3
136,Queens,Astoria Heights,4c2e8df2213c2d7f94742f5d,1,Tikka Grill,0,,2
137,Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,2,Hungry Bird,8,6.9,3
138,Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,1,Chola Eclectic Indian Cuisine,147,8.6,55
139,Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,2,Moti Mahal Delux,185,8.4,82
140,Manhattan,Sutton Place,4f57f98fe4b0bd50f6bb8b31,2,The Kati Roll Company,179,8.6,54
141,Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,3,The Kati Roll Company,18,8.6,2
142,Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,1,Amma,98,8.5,65
143,Manhattan,Turtle Bay,5ac3984ae57ca64be4dc6168,2,INDAY,459,8.2,88
144,Manhattan,Turtle Bay,4f57f98fe4b0bd50f6bb8b31,2,The Kati Roll Company,179,8.6,54
145,Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,3,The Kati Roll Company,18,8.6,2
146,Manhattan,Tudor City,5ac3984ae57ca64be4dc6168,2,INDAY,459,8.2,88
147,Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,1,Saffron Garden,17,7.8,16
148,Queens,Blissville,5b931ea69d7468002c3b1382,3,Adda,71,9.2,20
149,Brooklyn,Erasmus,564d283d498e6e851df79d87,3,Great Indian Curry,3,6.9,2
150,Queens,Queensbridge,4b1b341bf964a5208af923e3,2,Five Star Banquet,29,7.4,31
151,Queens,Queensbridge,50a287a7e4b0033f830f06db,2,Raj's Indian Kitchen,21,7.2,9
152,Staten Island,Fox Hills,4b65f2e3f964a5206e0a2be3,2,Al-Humza,0,,1
